,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number),,,,,
Run_1,0.001744759,3699.115481,196472.3006,5939364.719,,166168.7914,4083.964427,866209845.5,2762985611
Run_2,0.001847159,3701.937636,94021645.35,575853981.5,,,,,
Run_3,0.001744759,3699.115417,196472.1929,5939362.805,,,,,
Run_4,0.001744759,3699.115423,196472.2049,5939363.04,,,,,
Run_5,0.00174476,3699.115537,198998.3523,5939363.082,,,,,
Run_6,0.001729702,3698.982116,159211.2869,5939920.05,,,,,
Run_7,0.001744759,3699.115481,196472.3006,5939364.719,,,,,
Run_8,0.001744759,3699.115481,196472.3006,5939364.719,,,,,
Run_9,0.001729703,3698.982029,161004.2381,5939909.81,,,,,
Run_10,0.001822134,3701.343026,78165731.26,576661036.5,,,,,
Run_11,0.001822122,3701.339236,78165725.45,576661006.8,,,,,
Run_12,0.001821893,3701.256096,77134230.53,576708689.8,,,,,
Run_13,0.001846813,3701.83985,95184503.37,575784862.3,,,,,
Run_14,0.001821929,3701.277211,78165514.47,576660016,,,,,
Run_15,0.001821929,3701.277211,78165514.47,576660016,,,,,
Run_16,0.001821929,3701.277211,78165514.47,576660016,,,,,
Run_17,0.001458714,3472.949641,158276416.3,511084371.2,,,,,
Run_18,0.001668317,3500.644477,822690814.6,2480495837,,,,,
Run_19,0.00145855,3472.897902,158276312.1,511084093.6,,,,,
Run_20,0.001459227,3473.105224,158276546.4,511084722.8,,,,,
Run_21,0.001458729,3472.957901,158661767,511031866.4,,,,,
Run_22,0.001296601,3460.605406,94197683.54,524482827.6,,,,,
Run_23,0.003081913,3956.924471,1447725712,2930643414,,,,,
Run_24,0.001458714,3472.949641,158276416.3,511084371.2,,,,,
Run_25,0.002590737,3926.409482,1012080620,3056933061,,,,,
Run_26,0.002814274,4027.588256,5617472265,16934185823,,,,,
Run_27,0.002790268,4020.293675,5617465294,16934163761,,,,,
Run_28,0.00281207,4026.695163,5593974907,16939541080,,,,,
Run_29,0.003887794,4125.42004,7418979630,15779534057,,,,,
Run_30,0.0013179,3469.877475,517119873.1,2611206767,,,,,
Run_31,0.002813023,4027.220513,5617472092,16934185502,,,,,
Run_32,0.002813023,4027.220513,5617472092,16934185502,,,,,
Run_33,1232492.793,5966.555515,2774.160329,38391.60129,,,,,
Run_34,1232125.773,6185.481875,3107.7891,41077.19475,,,,,
Run_35,1232492.793,5966.555516,2792.732848,39294.54136,,,,,
Run_36,1232492.793,5966.555515,2760.333153,37719.68286,,,,,
Run_37,1232492.775,5966.571087,2774.184923,38391.90123,,,,,
Run_38,0.004437271,4128.221491,5750211843,10198461370,,,,,
Run_39,469475.227,3862.842598,512.5527136,4089.098328,,,,,
Run_40,1232492.793,5966.555515,2774.160329,38391.60129,,,,,
Run_41,0.001880019,3514.752358,702130424.3,1647934837,,,,,
Run_42,0.001748556,3498.133138,354393095,853465483.1,,,,,
Run_43,0.001749574,3498.442849,354393390.2,853466117.6,,,,,
Run_44,0.001749264,3498.325236,351936811.6,853881646.8,,,,,
Run_45,469410.9318,3909.441064,591.8548056,4611.627303,,,,,
Run_46,0.003992846,4045.727741,2944265780,5043965496,,,,,
Run_47,0.001749361,3498.379404,354393353.7,853466038.4,,,,,
Run_48,0.001749361,3498.379404,354393353.7,853466038.4,,,,,
Run_49,0.001284483,3458.824996,10709097.54,89268411.06,,,,,
Run_50,0.00127374,3458.536756,1163029.803,16987787.12,,,,,
Run_51,0.001284228,3458.712708,9512573.487,84137314.87,,,,,
Run_52,0.001284445,3458.812845,10709067.75,89268261.86,,,,,
Run_53,0.001284477,3458.82167,10556663.72,89276322.31,,,,,
Run_54,0.001274362,3458.677769,8115276.263,89346500.66,,,,,
Run_55,0.002477167,3906.08442,107080022.2,454343130.9,,,,,
Run_56,0.001284483,3458.824996,10709097.54,89268411.06,,,,,
Run_57,0.00239571,3903.285205,18063343.19,192919698.9,,,,,
