,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number)
Run_1,0.07668789370524469,45611.235915717276,97721.23233536865,647333.4436033174
Run_2,0.07668789370524469,45611.235915717276,97721.23233536865,647333.4436033174
Run_3,0.07668789369409353,45611.235910482326,97448.32518346676,644260.4554477065
Run_4,0.07668789369142126,45611.235911573174,97474.2591182117,644552.3696973538
Run_5,0.07668792398900677,45611.240052850415,97983.28323285516,647285.7007597731
Run_6,0.06677020461699529,41524.297689088315,93043.87023001487,807666.5749318358
Run_7,0.07668789370524469,45611.235915717276,97721.23233536865,647333.4436033174
Run_8,0.07668789370524469,45611.235915717276,97721.23233536865,647333.4436033174
Run_9,0.0667702389860567,41524.302531887355,92674.08405270721,798739.9188433954
Run_10,0.06677023901484151,41524.302544763574,93111.95329857137,804485.0950497875
Run_11,0.0667702390135658,41524.30254401929,93086.91517368463,804156.2524102587
Run_12,0.06677020453382972,41524.297654859845,92371.13892057532,798791.2163071523
Run_13,0.07668792398082303,45611.24003735365,97281.19346790569,639416.2349118073
Run_14,0.0667702389860567,41524.302531887355,92674.08405270721,798739.9188433954
Run_15,0.0667702389860567,41524.302531887355,92674.08405270721,798739.9188433954
Run_16,0.0667702389860567,41524.302531887355,92674.08405270721,798739.9188433954
Run_17,0.0017594106098223672,3516.6274024663658,1320946042.1749537,4027440852.967864
Run_18,0.0017594106098223672,3516.6274024663658,1320946042.1749537,4027440852.967864
Run_19,0.0017581314740662578,3516.230467278927,1320945490.5851228,4027439039.438572
Run_20,0.0017633928301329053,3517.8218719246947,1320946872.451095,4027443358.5155225
Run_21,0.0017594650540536786,3516.65831208089,1322374833.4497356,4027023354.4157925
Run_22,0.001329021819227628,3476.0738719302403,835060060.5331366,4279687977.510916
Run_23,0.0042409258877747266,4225.744220482808,11790805060.792046,26436064919.873306
Run_24,0.0017594106098223672,3516.6274024663658,1320946042.1749537,4027440852.967864
Run_25,0.002959227089735079,4102.850898628316,9070748980.348997,28598007010.00697
Run_26,0.0029611774851180804,4103.42310748302,9070749209.713678,28598007721.649036
Run_27,0.0029237176418151463,4092.073516932,9070739215.450869,28597973011.22365
Run_28,0.0029579320019373716,4102.137369955374,9038865019.226646,28606727456.453297
Run_29,0.004275346109136412,4236.299435759631,11812622940.29832,26429778742.941273
Run_30,0.001331450610507869,3476.8181529169606,836262467.6480889,4279345021.751503
Run_31,0.002959227089735079,4102.850898628316,9070748980.348997,28598007010.00697
Run_32,0.002959227089735079,4102.850898628316,9070748980.348997,28598007010.00697
Run_33,10.204406954636005,59849.0202366084,476.57679991494535,5825.866262895137
Run_34,10.204406954636005,59849.0202366084,476.57679991494535,5825.866262895137
Run_35,10.204406950799669,59849.020230836366,478.08464381902417,5890.153459338053
Run_36,10.20440695303513,59849.020230572714,475.4270992946119,5776.848712196439
Run_37,10.070618819854019,59849.09344757437,475.8912878265367,5817.554818825128
Run_38,0.11264585425398362,59824.47474980603,12646.019814340674,6480.161398407067
Run_39,4.758226883640318,59880.1814861864,516.3237049356521,4234.394385151062
Run_40,10.204406954636005,59849.0202366084,476.57679991494535,5825.866262895137
Run_41,0.1127749610735387,59847.1454277612,12986.286263798107,4901.570091613855
Run_42,0.11277496112041202,59847.14543378282,12981.66526177161,4829.881558980261
Run_43,0.11277496108695033,59847.14543143609,12987.483420546683,4920.215524162489
Run_44,0.11277845520052378,59849.70673127789,12872.341913830425,4935.642350443276
Run_45,3.93449727372628,59881.11774621852,517.3943658661801,4264.926532003185
Run_46,0.11264563069056073,59822.76007769165,12458.572663628205,6461.795987118955
Run_47,0.1127749610735387,59847.1454277612,12986.286263798107,4901.570091613855
Run_48,0.1127749610735387,59847.1454277612,12986.286263798107,4901.570091613855
Run_49,0.000702803675893801,3091.673956904544,8369451.3771909,41749496.18933321
Run_50,0.000702803675893801,3091.673956904544,8369451.3771909,41749496.18933321
Run_51,0.0007026314719270087,3091.6057415950954,8132968.742731055,40510397.198501565
Run_52,0.0007027820526156885,3091.6667115071846,8369443.2243143,41749456.56425081
Run_53,0.0007028019815372428,3091.673053248651,8328671.899097015,41760139.47936569
Run_54,0.000698524443230479,3091.3185346525897,7156380.825473512,41881436.85730969
Run_55,0.0009413242169485018,3184.9828368724857,48047871.91031721,144037712.5048597
Run_56,0.0009594966491155995,3150.989335153264,398164.57552642806,2768632.314316386
Run_57,0.0011945497125335533,3246.613040640468,682570.2413354196,3351256.663306776
Run_58,0.0011945786124720626,3246.6272609796997,1013258.0395774012,4296789.556527949
Run_59,0.0011945632947976477,3246.6214059258537,1001175.5341362889,4248181.941419257
Run_60,0.0011945513550899805,3246.6132944153796,697917.9355718065,3349480.804037236
Run_61,0.0012923493059053288,3275.416979052022,811596.365666501,3339047.0847272757
Run_62,0.0009199128804181293,3139.407784733361,233386.07892426217,2288123.46174195
Run_63,0.0009194770654256815,3182.5450871096446,19624599.807206765,79811095.8382
Run_64,0.0011945497125335533,3246.613040640468,682570.2413354196,3351256.663306776
Run_65,0.08315653595099111,48220.20697221816,83951.40707860739,376554.2247859587
Run_66,0.08315653595099111,48220.20697221816,83951.40707860739,376554.2247859587
Run_67,0.08315653624905904,48220.20718195962,97630.07972000411,510737.33205248864
Run_68,0.08315653633323479,48220.2072294425,99621.2948663296,530428.8274023079
Run_69,0.08315652317943326,48220.20527128781,83870.52024848986,376563.43959837046
Run_70,0.0848751300478347,48906.6875784264,84688.7303460027,355332.9560882258
Run_71,0.08840776469131137,50310.80940665272,81120.2346124069,308351.631083922
Run_72,0.0019172506339097698,3709.3911947169704,1199042609.5015612,5851636900.823839
Run_73,0.0013246185027214257,3474.7237297271527,746660077.1777861,4289071859.9173646
Run_74,0.0013206406816463033,3473.4894776703013,746658048.3720934,4289059411.077764
Run_75,0.0013141752492731608,3471.1540876545428,746319805.4823405,4286205049.822395
Run_76,0.0013246478495982984,3474.7398311116285,747382964.1834726,4288866027.7685018
Run_77,0.0013232648891506476,3474.361495765144,730488001.4891543,4291032878.4463196
Run_78,0.0020403799473708312,3772.4368131529022,3327144965.7639966,13872101291.858988
Run_79,0.08987085432041812,50891.65451531006,95452.59915398982,419217.39528158744
Run_80,0.0013246185027214257,3474.7237297271527,746660077.1777861,4289071859.9173646
Run_81,150142.0362851377,5122.355459123231,648.0958236524453,105359.78904612213
Run_82,150142.0362851377,5122.355459123231,648.0958236524453,105359.78904612213
Run_83,150142.0362808332,5122.3554589516325,623.4080607341788,99987.01839432382
Run_84,150142.03628549253,5122.355459073288,639.4349374936692,103484.74906078646
Run_85,150142.0416586396,5122.350103549809,648.091889374713,105359.75194470459
Run_86,150788.73367441,4659.4129479781805,702.9853159000254,96092.09373080524
Run_87,150142.0362851377,5122.355459123231,648.0958236524453,105359.78904612213
Run_88,30475.796690334497,32206.121213320006,230.77011302104046,39563.25817916333
Run_89,40675.41259289114,22895.580651019907,283.6369920152603,38996.04279677062
Run_90,40675.4125921887,22895.580651125074,298.2712064183467,42117.08665317887
