,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number),,,,,,
Run_1,0.008303715,12047.69915,20476.42695,156176.8679,,,38677.338,23758.98405,191389357.9,597901947
Run_2,0.04805626,33438.15624,74021.8913,457689.502,,,,,,
Run_3,0.008303715,12047.69914,20472.78211,156120.151,,,,,,
Run_4,0.008303715,12047.69914,20473.13983,156125.6867,,,,,,
Run_5,0.008303715,12047.69915,20476.42695,156176.8679,,,,,,
Run_6,0.004662818,8894.647548,15187.52952,157510.1197,,,,,,
Run_7,0.008303715,12047.69915,20476.42695,156176.8679,,,,,,
Run_8,0.008303715,12047.69915,20476.42695,156176.8679,,,,,,
Run_9,0.004662818,8894.647547,15184.83625,157459.2041,,,,,,
Run_10,0.036066222,27875.45598,62945.06853,523045.1519,,,,,,
Run_11,0.036066222,27875.45598,62933.69564,522918.8372,,,,,,
Run_12,0.036066222,27875.45598,62743.35092,520815.4454,,,,,,
Run_13,0.04805626,33438.15622,73591.65393,453824.0292,,,,,,
Run_14,0.036066222,27875.45598,62743.35092,520815.4454,,,,,,
Run_15,0.036066222,27875.45598,62743.35092,520815.4454,,,,,,
Run_16,0.036066222,27875.45598,62743.35092,520815.4454,,,,,,
Run_17,0.001459599,3472.973082,159345565.5,511276351.9,,,,,,
Run_18,0.00166949,3500.730052,826663634.6,2481241643,,,,,,
Run_19,0.001459433,3472.920979,159345460.2,511276072.9,,,,,,
Run_20,0.001460115,3473.129763,159345696.7,511276704.8,,,,,,
Run_21,0.001459599,3472.973082,159345565.5,511276351.9,,,,,,
Run_22,0.001297037,3460.626653,95189662.14,524736436.9,,,,,,
Run_23,0.003102705,3959.068034,1546567930,2942651282,,,,,,
Run_24,0.001459599,3472.973082,159345565.5,511276351.9,,,,,,
Run_25,0.002606086,3927.344195,1051759152,3071091855,,,,,,
Run_26,0.002835398,4032.465522,5835397858,17031278708,,,,,,
Run_27,0.002810351,4024.85849,5835390570,17031256438,,,,,,
Run_28,0.002834093,4032.082017,5835397694,17031278293,,,,,,
Run_29,0.003925479,4135.585943,7874276697,15859603231,,,,,,
Run_30,0.001318422,3469.941134,519985168,2612613520,,,,,,
Run_31,0.002834093,4032.082017,5835397694,17031278293,,,,,,
Run_32,0.002834093,4032.082017,5835397694,17031278293,,,,,,
Run_33,15.61109226,59828.59698,448.8205195,5201.45238,,,,,,
Run_34,18.80286158,59808.82125,425.6778381,4934.255043,,,,,,
Run_35,15.61109226,59828.597,450.2221167,5258.100255,,,,,,
Run_36,15.61109226,59828.597,447.751399,5158.24212,,,,,,
Run_37,15.61109226,59828.59698,448.8205195,5201.45238,,,,,,
Run_38,0.112625172,59827.93821,5624.572342,5442.241791,,,,,,
Run_39,15.42729561,59852.73942,494.2557858,4055.065178,,,,,,
Run_40,15.61109226,59828.59698,448.8205195,5201.45238,,,,,,
Run_41,0.112748219,59851.8903,5668.808856,4327.02718,,,,,,
Run_42,0.11266817,59834.70415,6566.142516,4126.623136,,,,,,
Run_43,0.11266817,59834.70415,6571.195656,4204.459447,,,,,,
Run_44,0.11266817,59834.70415,6570.1558,4188.401757,,,,,,
Run_45,18.58279101,59835.732,475.8332192,3924.322969,,,,,,
Run_46,0.112531092,59808.02367,6527.305126,5229.740351,,,,,,
Run_47,0.11266817,59834.70415,6570.1558,4188.401757,,,,,,
Run_48,0.11266817,59834.70415,6570.1558,4188.401757,,,,,,
Run_49,0.000690821,3090.587687,298212.3515,2702316.354,,,,,,
Run_50,0.000682233,3089.915671,56886.53919,938027.9569,,,,,,
Run_51,0.000690815,3090.585172,281595.0817,2641411.218,,,,,,
Run_52,0.00069082,3090.587418,298211.847,2702313.702,,,,,,
Run_53,0.000690821,3090.587687,298212.3515,2702316.354,,,,,,
Run_54,0.000682466,3089.937961,225953.5889,2704329.761,,,,,,
Run_55,0.000891763,3180.129719,1620455.94,6674528.235,,,,,,
Run_56,0.000851334,3118.915532,42174.41432,620568.7709,,,,,,
Run_57,0.000909694,3157.195977,52314.76354,637515.8803,,,,,,
Run_58,0.000770538,3109.505799,24862.85476,383073.0555,,,,,,
Run_59,0.000770538,3109.505675,24219.89839,380497.3692,,,,,,
Run_60,0.000770538,3109.505519,16444.96133,332400.456,,,,,,
Run_61,0.000909628,3157.159959,22391.00009,332157.4374,,,,,,
Run_62,0.000699133,3070.276231,8910.144131,299794.735,,,,,,
Run_63,0.000823729,3174.832451,78557.15641,1309722.204,,,,,,
Run_64,0.000770538,3109.505519,16444.96133,332400.456,,,,,,
Run_65,0.058902216,38186.24222,68890.49216,299545.3988,,,,,,
Run_66,0.076702012,45550.16829,87289.86273,351509.8802,,,,,,
Run_67,0.058902216,38186.24242,81354.39328,394248.1823,,,,,,
Run_68,0.058902216,38186.24246,82958.08519,406372.063,,,,,,
Run_69,0.058902216,38186.24222,68890.49216,299545.3988,,,,,,
Run_70,0.06145607,39275.18445,70579.07478,285721.1424,,,,,,
Run_71,0.065787484,41097.10788,64434.98258,257983.2715,,,,,,
Run_72,0.001868418,3700.494387,40514997.02,311963643.7,,,,,,
Run_73,0.001286485,3459.302694,33042210.76,239867122.3,,,,,,
Run_74,0.00130232,3464.141701,279191723.5,1592869039,,,,,,
Run_75,0.001299809,3463.213515,278862476.1,1590746110,,,,,,
Run_76,0.001303887,3464.631877,279192787.2,1592874739,,,,,,
Run_77,0.001302723,3464.47511,272404714.7,1593482384,,,,,,
Run_78,0.001951891,3727.736737,1267116902,4964674296,,,,,,
Run_79,0.083775617,48448.17408,90709.70748,396672.7152,,,,,,
Run_80,0.001303887,3464.631877,279192787.2,1592874739,,,,,,
Run_81,150433.4384,4994.866018,586.0025933,95601.82518,,,,,,
Run_82,151301.7238,4019.179981,370.200291,34579.57379,,,,,,
Run_83,150433.4384,4994.866018,565.1320916,90847.8102,,,,,,
Run_84,150433.4384,4994.866018,578.6829711,93943.35235,,,,,,
Run_85,150433.4384,4994.866018,586.0025933,95601.82518,,,,,,
Run_86,151061.9175,4536.146265,642.8675412,87979.99875,,,,,,
Run_87,150433.4384,4994.866018,586.0025933,95601.82518,,,,,,
Run_88,32622.18569,30244.52636,210.9105226,36559.83358,,,,,,
Run_89,42733.5994,21055.64478,263.3557386,36320.47954,,,,,,
Run_90,56836.62311,8600.93976,183.0275979,17264.09711,,,,,,
Run_91,56836.62311,8600.93976,181.5643986,16918.22817,,,,,,
Run_92,56836.62311,8600.93976,178.8000261,16260.04735,,,,,,
Run_93,50709.50256,13823.77842,162.4732848,14982.12669,,,,,,
Run_94,56836.62311,8600.93976,178.8000261,16260.04735,,,,,,
Run_95,151639.5172,3723.150515,356.8035971,31226.24166,,,,,,
Run_96,56836.62311,8600.93976,178.8000261,16260.04735,,,,,,
Run_97,0.001320915,3281.67681,645974.3038,2147989.875,,,,,,
Run_98,0.001284032,3271.153588,406696.531,1510803.72,,,,,,
Run_99,0.001320915,3281.676882,645975.2633,2147993.82,,,,,,
Run_100,0.001320903,3281.67196,616051.1155,2087924.51,,,,,,
Run_101,0.001320915,3281.67681,645974.3038,2147989.875,,,,,,
Run_102,0.001353761,3304.564254,672669.9026,2135776.216,,,,,,
Run_103,0.001161913,3224.183127,422479.4834,1861834.089,,,,,,
Run_104,0.000947253,3184.659399,18230662.61,44583663.47,,,,,,
Run_105,0.000830302,3142.716812,9104524.275,26853430.65,,,,,,
Run_106,0.000824924,3141.659541,4499760.185,14427814.21,,,,,,
Run_107,0.000825038,3141.710481,5079132.22,15632773.34,,,,,,
Run_108,0.000824931,3141.664208,4666103.905,14769340.93,,,,,,
Run_109,0.00082174,3141.418299,4403142.627,14779172.2,,,,,,
Run_110,0.000944871,3184.256404,9031664.947,22402272.87,,,,,,
Run_111,0.001155045,3222.268542,273966.5508,1314842.654,,,,,,
Run_112,0.000824931,3141.664208,4666103.905,14769340.93,,,,,,
Run_113,0.001258979,3458.399477,1121280.33,23330497.85,,,,,,
Run_114,0.00131324,3471.671511,606554968.9,4066212243,,,,,,
Run_115,0.001258979,3458.399491,1121280.341,23330497.96,,,,,,
Run_116,0.001258979,3458.399309,1121280.212,23330496.38,,,,,,
Run_117,0.001258979,3458.399477,1121280.33,23330497.85,,,,,,
Run_118,0.001260023,3458.409633,1159659.285,23330098.62,,,,,,
Run_119,0.001258979,3458.399477,1121280.33,23330497.85,,,,,,
Run_120,0.110162505,58983.62216,68720.52661,10295.73516,,,,,,
Run_121,0.110249008,59016.78529,67964.92418,9930.002402,,,,,,
Run_122,0.112441961,59720.79728,38619.01514,9173.099681,,,,,,
Run_123,0.112441961,59720.79728,38626.48867,9198.385652,,,,,,
Run_124,0.112441961,59720.79728,38619.89104,9176.059019,,,,,,
Run_125,0.11242243,59713.34632,39793.83328,9480.279483,,,,,,
Run_126,0.112441961,59720.79728,38619.89104,9176.059019,,,,,,
Run_127,0.00131398,3471.796952,615726583.7,4064777259,,,,,,
Run_128,0.112441961,59720.79728,38619.89104,9176.059019,,,,,,
Run_129,0.111837517,59620.81779,27604.76273,4351.282992,,,,,,
Run_130,0.112540722,59795.21205,14664.79483,5251.688222,,,,,,
Run_131,0.111837517,59620.81779,27705.25259,4524.300668,,,,,,
Run_132,0.111837517,59620.81779,27519.66221,4207.147181,,,,,,
Run_133,0.111837517,59620.81779,27604.76273,4351.282992,,,,,,
Run_134,0.110509554,59112.99766,59219.14693,10884.06491,,,,,,
Run_135,0.111771341,59607.84813,27020.05991,4549.095737,,,,,,
Run_136,0.000814578,3140.836157,687815.3992,2974598.039,,,,,,
Run_137,0.000825409,3174.984806,497348.9166,4194988.963,,,,,,
Run_138,0.000888066,3180.042877,13358281.66,52385952.8,,,,,,
Run_139,0.000888214,3180.093236,13363914.2,52408637.73,,,,,,
Run_140,0.000888194,3180.087103,13363907.4,52408615.55,,,,,,
Run_141,0.001018658,3210.736018,23022250.18,50586334.57,,,,,,
Run_142,0.000792495,3139.257798,6891956.462,33251860.33,,,,,,
Run_143,0.111966121,59585.42491,42938.43329,11994.4824,,,,,,
Run_144,0.000888194,3180.087103,13363907.4,52408615.55,,,,,,
Run_145,0.000898686,3180.94145,15646478.98,56954991.37,,,,,,
Run_146,0.00082924,3175.277626,413087.7557,3452546.783,,,,,,
Run_147,0.000898654,3180.931343,15646471.62,56954967.84,,,,,,
Run_148,0.000898683,3180.940424,15646478.41,56954990.06,,,,,,
Run_149,0.000898686,3180.94145,15646478.98,56954991.37,,,,,,
Run_150,0.000945559,3184.623846,22167412.18,56251024.4,,,,,,
Run_151,0.000798619,3139.754184,8035338.472,36043939.39,,,,,,
Run_152,0.112078825,59625.89655,39806.32839,11063.84478,,,,,,
Run_153,0.112476839,59768.50045,21434.88088,6185.316896,,,,,,
Run_154,0.11153311,59513.64655,39452.73735,5486.419797,,,,,,
Run_155,0.11153311,59513.64657,39398.27052,5429.692889,,,,,,
Run_156,0.11153311,59513.64655,39380.0258,5410.733091,,,,,,
Run_157,0.11054988,59137.53555,58405.25158,10024.88171,,,,,,
Run_158,0.111465962,59500.34502,37838.34061,5622.022538,,,,,,
Run_159,0.000796833,3139.466154,416870.3172,2478588.654,,,,,,
Run_160,0.11153311,59513.64655,39380.0258,5410.733091,,,,,,
Run_161,0.000944858,3146.466222,345145.9468,2561602.504,,,,,,
Run_162,0.000876568,3126.474762,85190.26925,986571.2266,,,,,,
Run_163,0.000944858,3146.46629,345148.1987,2561620.66,,,,,,
Run_164,0.000944859,3146.466952,345155.9836,2561686.099,,,,,,
Run_165,0.000944858,3146.466222,345145.9468,2561602.504,,,,,,
Run_166,8384.811283,52060.89072,149.3453656,22505.64302,,,,,,
Run_167,0.000944858,3146.466222,345145.9468,2561602.504,,,,,,
Run_168,0.001314284,3470.225409,643304289.7,3552834450,,,,,,
Run_169,462454.1623,4707.858952,8462.687858,1190928.628,,,,,,
Run_170,462222.0635,4527.791681,2230.997046,353529.7448,,,,,,
Run_171,462222.0635,4527.791679,2012.104254,312039.9002,,,,,,
Run_172,462222.0636,4527.791681,2234.072697,354104.7398,,,,,,
Run_173,0.001289548,3459.614473,46783261.29,311839621.1,,,,,,
Run_174,462222.0636,4527.791681,2234.072697,354104.7398,,,,,,
Run_175,15135.67095,45487.72179,95.1605177,13999.34401,,,,,,
Run_176,462222.0636,4527.791681,2234.072697,354104.7398,,,,,,
Run_177,833429.3319,5392.66712,2470.904951,228174.9721,,,,,,
Run_178,834532.3688,5961.827397,3522.561566,328228.2483,,,,,,
Run_179,833429.3319,5392.66712,2471.442558,228295.3798,,,,,,
Run_180,833429.3319,5392.66712,2466.802093,227255.6226,,,,,,
Run_181,833429.3319,5392.66712,2470.904951,228174.9721,,,,,,
Run_182,0.001880108,3705.02307,225675502.2,1057514973,,,,,,
Run_183,833429.3319,5392.66712,2470.904951,228174.9721,,,,,,
Run_184,1820.661531,58058.9483,252.1415999,7507.37323,,,,,,
Run_185,0.06080387,38989.70842,87838.2576,451268.2699,,,,,,
Run_186,0.080499952,47065.15828,114650.3044,557093.7088,,,,,,
Run_187,0.080499952,47065.15828,114752.5286,557881.0568,,,,,,
Run_188,0.080499952,47065.15828,114665.7106,557212.3594,,,,,,
Run_189,991.5170702,58955.44977,354.0756787,10539.18191,,,,,,
Run_190,0.080499952,47065.15828,114665.7106,557212.3594,,,,,,
Run_191,0.002003471,3755.142106,2539533775,10536044666,,,,,,
Run_192,0.080499952,47065.15828,114665.7106,557212.3594,,,,,,
Run_193,0.109772054,58627.12158,89621.4609,27240.74866,,,,,,
Run_194,0.109564773,58553.99049,89828.25131,27008.20291,,,,,,
Run_195,0.109772054,58627.12159,89645.57148,27269.04827,,,,,,
Run_196,0.109772054,58627.12158,89475.87301,27069.91195,,,,,,
Run_197,0.109772054,58627.12158,89621.4609,27240.74866,,,,,,
Run_198,0.068849989,42385.92075,75215.54046,292335.7649,,,,,,
