,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number),,,,,
Run_1,0.007775989,11667.98241,18255.59971,155837.7913,,38648.81136,23677.46539,184570683.3,595337705.2
Run_2,0.046942567,32988.32356,64145.15635,458255.1254,,,,,
Run_3,0.007775989,11667.98241,18252.87891,155785.2511,,,,,
Run_4,0.007775989,11667.98241,18253.14563,155790.3811,,,,,
Run_5,0.007775989,11667.98241,18255.59971,155837.7913,,,,,
Run_6,0.004392268,8663.736885,13597.08476,157093.1862,,,,,
Run_7,0.007775989,11667.98241,18255.59971,155837.7913,,,,,
Run_8,0.007775989,11667.98241,18255.59971,155837.7913,,,,,
Run_9,0.004392268,8663.736884,13595.08265,157046.3542,,,,,
Run_10,0.035198233,27503.27484,54058.14165,522075.5636,,,,,
Run_11,0.035198233,27503.27484,54049.93081,521952.6562,,,,,
Run_12,0.035198233,27503.27484,53912.55364,519905.7536,,,,,
Run_13,0.046942567,32988.32355,63827.41971,454479.8251,,,,,
Run_14,0.035198233,27503.27484,53912.55364,519905.7536,,,,,
Run_15,0.035198233,27503.27484,53912.55364,519905.7536,,,,,
Run_16,0.035198233,27503.27484,53912.55364,519905.7536,,,,,
Run_17,0.001458733,3472.960071,158762959.1,511018058.9,,,,,
Run_18,0.001668369,3500.674221,824069125.3,2480156224,,,,,
Run_19,0.001458568,3472.908179,158762854,511017779.2,,,,,
Run_20,0.001459247,3473.116115,158763089.1,511018409.5,,,,,
Run_21,0.001458733,3472.960071,158762959.1,511018058.9,,,,,
Run_22,0.001296614,3460.613033,94554368.35,524438133.2,,,,,
Run_23,0.003082188,3957.08168,1455059272,2929653695,,,,,
Run_24,0.001458733,3472.960071,158762959.1,511018058.9,,,,,
Run_25,0.002590812,3926.450695,1013929021,3056715245,,,,,
Run_26,0.002814523,4027.725169,5623579535,16932792183,,,,,
Run_27,0.002790493,4020.423357,5623572591,16932769954,,,,,
Run_28,0.002813271,4027.357062,5623579414,16932791574,,,,,
Run_29,0.00388797,4125.516608,7423294441,15778481789,,,,,
